Interaction_Type,Train_Count,Val_Count,Test_Count,Total_Count,Train_Pct,Val_Pct,Test_Pct
1,8,1,2,11,72.7,9.1,18.2
2,265,31,27,323,82.0,9.6,8.4
3,408,53,58,519,78.6,10.2,11.2
4,3996,511,504,5011,79.7,10.2,10.1
5,247,30,32,309,79.9,9.7,10.4
6,2572,292,296,3160,81.4,9.2,9.4
7,18,2,1,21,85.7,9.5,4.8
8,202,24,19,245,82.4,9.8,7.8
9,1689,190,230,2109,80.1,9.0,10.9
10,497,71,61,629,79.0,11.3,9.7
11,241,38,27,306,78.8,12.4,8.8
12,184,24,30,238,77.3,10.1,12.6
13,36,5,4,45,80.0,11.1,8.9
14,302,30,29,361,83.7,8.3,8.0
15,161,25,16,202,79.7,12.4,7.9
16,4384,537,514,5435,80.7,9.9,9.5
17,73,4,6,83,88.0,4.8,7.2
18,60,9,13,82,73.2,11.0,15.9
19,88,6,15,109,80.7,5.5,13.8
20,4927,617,596,6140,80.2,10.0,9.7
21,337,49,42,428,78.7,11.4,9.8
22,72,14,8,94,76.6,14.9,8.5
23,45,8,3,56,80.4,14.3,5.4
24,143,21,16,180,79.4,11.7,8.9
25,592,62,62,716,82.7,8.7,8.7
26,5,1,1,7,71.4,14.3,14.3
27,736,101,99,936,78.6,10.8,10.6
28,9,1,1,11,81.8,9.1,9.1
29,261,27,36,324,80.6,8.3,11.1
30,503,53,60,616,81.7,8.6,9.7
31,12,1,1,14,85.7,7.1,7.1
32,802,112,101,1015,79.0,11.0,10.0
33,353,39,51,443,79.7,8.8,11.5
34,249,28,35,312,79.8,9.0,11.2
35,58,6,5,69,84.1,8.7,7.2
36,75,9,10,94,79.8,9.6,10.6
37,2512,319,258,3089,81.3,10.3,8.4
38,28,3,2,33,84.8,9.1,6.1
39,124,10,14,148,83.8,6.8,9.5
40,244,26,30,300,81.3,8.7,10.0
41,11,1,2,14,78.6,7.1,14.3
42,4,1,1,6,66.7,16.7,16.7
43,9,1,1,11,81.8,9.1,9.1
44,10,1,2,13,76.9,7.7,15.4
45,26,5,2,33,78.8,15.2,6.1
46,21,2,3,26,80.8,7.7,11.5
47,27490,3464,3405,34359,80.0,10.1,9.9
48,57,3,9,69,82.6,4.3,13.0
49,48746,6126,6099,60971,79.9,10.0,10.0
50,22,3,1,26,84.6,11.5,3.8
51,65,9,9,83,78.3,10.8,10.8
52,8,1,1,10,80.0,10.0,10.0
53,267,36,33,336,79.5,10.7,9.8
54,993,149,135,1277,77.8,11.7,10.6
55,95,14,9,118,80.5,11.9,7.6
56,25,3,5,33,75.8,9.1,15.2
57,538,65,61,664,81.0,9.8,9.2
58,847,90,106,1043,81.2,8.6,10.2
59,32,6,5,43,74.4,14.0,11.6
60,6728,834,831,8393,80.2,9.9,9.9
61,408,35,55,498,81.9,7.0,11.0
62,9,1,1,11,81.8,9.1,9.1
63,29,2,3,34,85.3,5.9,8.8
64,649,71,76,796,81.5,8.9,9.5
65,25,4,3,32,78.1,12.5,9.4
66,101,12,15,128,78.9,9.4,11.7
67,854,116,122,1092,78.2,10.6,11.2
68,215,27,34,276,77.9,9.8,12.3
69,240,17,19,276,87.0,6.2,6.9
70,6217,762,808,7787,79.8,9.8,10.4
71,542,72,57,671,80.8,10.7,8.5
72,1467,167,191,1825,80.4,9.2,10.5
73,18789,2345,2406,23540,79.8,10.0,10.2
74,324,41,57,422,76.8,9.7,13.5
75,7439,993,961,9393,79.2,10.6,10.2
76,444,56,58,558,79.6,10.0,10.4
77,420,56,62,538,78.1,10.4,11.5
78,23,3,2,28,82.1,10.7,7.1
79,21,2,4,27,77.8,7.4,14.8
80,46,3,14,63,73.0,4.8,22.2
81,90,9,9,108,83.3,8.3,8.3
82,288,36,31,355,81.1,10.1,8.7
83,966,108,130,1204,80.2,9.0,10.8
84,49,12,4,65,75.4,18.5,6.2
85,301,32,39,372,80.9,8.6,10.5
86,21,2,4,27,77.8,7.4,14.8
